branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
Senate,101,-0.382,1376,7,Mr. LAUTENBERG.,1989,commiss would nine member two hous senat one depart transport one intel ligenc commun one na tional transport safeti board one airlin industri one victim pan group famili friend kill flight," This Commission would have nine  members:  two each from  the House  and Senate; one from the Department  of Transportation; one from the intel ligence community; one from the Na tional Transportation Safety Board;  one from the airline industry; and one  from the victims of Pan Am 103, the  group of families and friends of those  killed on that flight"," This Commission would have nine  members:  two each from  the House  and Senate; one from the Department  of Transportation; one from the intel ligence community; one from the Na tional Transportation Safety Board;  one from the airline industry; and one  from the victims of Pan Am 103, the  group of families and friends of those  killed on that flight"
,106,0.44299999999999995,1,1999-05-25,Mr. HASTERT.,1999,intend bring measur floor hous believ pass pass measur part solut,"We intend to bring these measures to the floor of the House, and I believe they will pass, but passing these measures is only part of the solution","We intend to bring these measures to the floor of the House, and I believe they will pass, but passing these measures is only part of the solution"
House,101,-0.514,709,20,Mr. KASTENMEIER.,1989,depart justic,Department of Justice,Department of Justice
House,99,-0.342,532,7,Mr. MAVROULES.,1985,polici sup port terrorist activ contra underscor intern percept unit state aggress bulli pursu,Our policy of sup porting the terrorist activities of the  Contras underscores the international  perception of the United States as an  aggressive bully pursuing its own intO  ,Our policy of sup porting the terrorist activities of the  Contras underscores the international  perception of the United States as an  aggressive bully pursuing its own intO  
,94,-0.085,1210,15,Mr. ROGERS.,1976,airlin captain charl f, Airline Captain: Charles F, Airline Captain: Charles F
,100,-0.32799999999999996,935,13,Mr. CARDIN.,1987,would like recogn individu truli outstand public servant maryland stand readi leav privat sector,"Speaker,  I would  like to  recognize an individual who has been a truly  outstanding public servant for Maryland who  now stands  ready  to  leave  for  the private  sector","Speaker,  I would  like to  recognize an individual who has been a truly  outstanding public servant for Maryland who  now stands  ready  to  leave  for  the private  sector"
House,112,0.688,23,2012-02-07,Mr. GARRETT.,2012,feder credit program howev present particular difficulti,"Federal credit programs, however,  present particular difficulties","Federal credit programs, however,  present particular difficulties"
Senate,94,-0.5670000000000001,950,15,Mr. NELSON.,1976,recogn refer tax reform enorm compli cate intens controversi politi calli difficult," We recognize  that what we refer  to  as ""tax reform"" is enormously compli cated, intensely controversial and politi cally difficult"," We recognize  that what we refer  to  as ""tax reform"" is enormously compli cated, intensely controversial and politi cally difficult"
House,106,-0.556,18,1999-03-18,Ms. WOOLSEY.,1999,invest educ children ensur prepar high tech global economi prepar work peac know weapon mass destruct ballist missil destroy everi human earth,"By investing in education of our children, we will ensure that they are prepared for a high-tech global economy, they will be prepared  to work  for peace, and they will know that weapons of mass destruction and ballistic missiles  can  destroy  every  human being on this Earth","By investing in education of our children, we will ensure that they are prepared for a high-tech global economy, they will be prepared  to work  for peace, and they will know that weapons of mass destruction and ballistic missiles  can  destroy  every  human being on this Earth"
,102,0.017,1351,23,Mr. MONTGOMERY.,1992,senat alan cranston genuin friend veteran famili throughout di tinguish career,"Speaker, Senator  ALAN CRANSTON has been a genuine friend to  veterans and their families throughout his dis tinguished career","Speaker, Senator  ALAN CRANSTON has been a genuine friend to  veterans and their families throughout his dis tinguished career"
Senate,100,-0.374,722,1,Mr. LEAHY.,1988,nomine suprem court expect expect rigor examin view record philoso phi go suprem court,All nominees for the  Supreme Court can expect and should  expect rigorous examination of their  views and their record of their philoso phy before they go on the Supreme  Court,All nominees for the  Supreme Court can expect and should  expect rigorous examination of their  views and their record of their philoso phy before they go on the Supreme  Court
,101,-0.631,756,3,Mr. STARK.,1989,first decad st centuri ratio retir work popul rise rapidli,"After the  first decade of the 21st century, the ratio of  the retired to working population will rise  rapidly","After the  first decade of the 21st century, the ratio of  the retired to working population will rise  rapidly"
,108,0.386,171,2004-06-14,Mr. TIBERI.,2004,presid reagan swept asid filter analysi news media spoke oval offic directli american peopl,President  Reagan swept aside the filters and ‘‘analysis’’  of the news media and spoke from the Oval  Office directly with the American people,President  Reagan swept aside the filters and ‘‘analysis’’  of the news media and spoke from the Oval  Office directly with the American people
Senate,100,-0.34700000000000003,153,2,Mr. MITCHELL.,1987,result almost everi major river unit state stink open sewer,"And as  a result, almost every major river in  the United States was a stinking, open  sewer","And as  a result, almost every major river in  the United States was a stinking, open  sewer"
House,112,-0.45799999999999996,17,2012-01-23,Ms. JACKSON LEE of Texas.,2012,call african american hispan latino american well asian american voter band togeth fight right vote work togeth understand vote right grant citizen nation law constitut," I call on African-  Americans, Hispanic and Latino Americans, as  well as Asian-American voters  to band  together  to  fight  for  their right  to vote and  to  work together to understand their voting rights  which are granted to citizens of our nation by  our laws and our Constitution"," I call on African-  Americans, Hispanic and Latino Americans, as  well as Asian-American voters  to band  together  to  fight  for  their right  to vote and  to  work together to understand their voting rights  which are granted to citizens of our nation by  our laws and our Constitution"
Senate,112,-0.203,89,2012-06-05,Ms. LANDRIEU.,2012,dont want peopl overus court abus court certainli want peopl feel though not treat fairli law access court system,"We don’t want people to overuse courts or to abuse courts, but we  most certainly want people who feel as  though they are not being treated fairly under the law to have access to a  court system","We don’t want people to overuse courts or to abuse courts, but we  most certainly want people who feel as  though they are not being treated fairly under the law to have access to a  court system"
,107,-0.606,152,2002-10-02,Ms. SCHAKOWSKY.,2002,leav children behind,He is leaving our  children behind,He is leaving our  children behind
Senate,103,0.1,287,8,Mr. COHEN.,1993,whether fight fire rais barn teach young care sick commun pull gether work common good surviv prosper,"Whether  it was fighting a  fire, raising a barn,  teaching the young, or caring for the  sick, our communities had to pull to gether and work for the common good  to survive and prosper","Whether  it was fighting a  fire, raising a barn,  teaching the young, or caring for the  sick, our communities had to pull to gether and work for the common good  to survive and prosper"
House,115,0.57,27,2017-10-11,Mr. BURGESS.,2017,thirti million american diabet million american prediabet three four american medicar diabet prediabet,"Thirty  million Americans have diabetes, 84  million Americans have prediabetes,  and three out of  four Americans on  Medicare have diabetes or prediabetes","Thirty  million Americans have diabetes, 84  million Americans have prediabetes,  and three out of  four Americans on  Medicare have diabetes or prediabetes"
,100,-0.5589999999999999,319,1,Mr. GARCIA.,1988,pigman intern offic us, Pigman was an  intern  in  the office of U.S, Pigman was an  intern  in  the office of U.S
House,101,0.162,200,12,Mr. RAVENEL.,1989,offer amend,"Chairman,  offer an amendment","Chairman,  offer an amendment"
Senate,104,-0.293,1278,3,Mr. HOLLINGS.,1995,presid cite distinguish major whip distinguish senat mi sissippi,"President, it was cited  by  the distinguished majority whip- the distinguished Senator  from Mis sissippi","President, it was cited  by  the distinguished majority whip- the distinguished Senator  from Mis sissippi"
House,113,-0.33799999999999997,23,2014-04-04,Mr. BISHOP of New York.,2014,dynam score problemat agenc score estim cost legisl soundli reject,"Dynamic scoring is problematic  for the agencies that score and estimate the  cost of legislation, and has been soundly rejected","Dynamic scoring is problematic  for the agencies that score and estimate the  cost of legislation, and has been soundly rejected"
Senate,101,-0.371,119,3,Mr. BURDICK.,1989,effort greet outright opposit reagan administr,Our efforts were  greeted with outright opposition from  the Reagan administration,Our efforts were  greeted with outright opposition from  the Reagan administration
,114,-0.402,75,2016-11-14,Mr. VISCLOSKY.,2016,state senat earlin roger honor lifetim achiev award mani year labor activ commit commun, State Senator Earline Rogers was honored  with the Lifetime Achievement Award for her  many years of labor activism and her commitment  to her community, State Senator Earline Rogers was honored  with the Lifetime Achievement Award for her  many years of labor activism and her commitment  to her community
Senate,97,-0.38299999999999995,109,3,Mr. TSONGAS.,1982,ambassador chile clear symbol administr chang per ception chilean regim compel vote nomi nation, Ambassador to Chile is a clear symbol  of the administration's changing per ception of the Chilean regime and I  am compelled to vote against his nomi nation, Ambassador to Chile is a clear symbol  of the administration's changing per ception of the Chilean regime and I  am compelled to vote against his nomi nation
House,101,0.556,218,11,Mr. SHUMWAY.,1990,di agre, I dis agree, I dis agree
Senate,114,0.434,101,2015-01-27,Mr. SHELBY.,2015,written notic subcommitte time record vote,"By written notice to the Chairman of the Subcommittee any time before the record vote  VerDate Sep 11 2014  01:25 Jan 29, 2015 Jkt 049060 PO 00000 Frm 00044 Fmt 0624 Sfmt 0634 E:\RECORD15\S27JA5.REC S27JA5 E N I L N O C E R G N O C h t i w D O R P 1 N V T P S 6 K S D n o r e n y o e j         ",By written notice to the Chairman of the Subcommittee any time before the record vote  
Senate,95,-0.408,535,5,Mr. BAYH.,1977,even establish fam ili farmer may squeez farm land becom concentr hand huge financi institut,Even established fam ily farmers may be squeezed out as farm land becomes concentrated in the hands  of huge financial  institutions,Even established fam ily farmers may be squeezed out as farm land becomes concentrated in the hands  of huge financial  institutions
,106,0.28800000000000003,23,2000-01-31,Mr. WELLER.,2000,brought fundament chang last year,We brought about some fundamental changes during the last 5 years,We brought about some fundamental changes during the last 5 years
House,97,-0.45799999999999996,1306,8,Mr. DIXON.,1981,know gentleman auth ore nation import law address critic problem un employ jobless,We all  know that this gentleman has auth ored this Nation's most important laws  to address the critical problems of un employment and  joblessness,We all  know that this gentleman has auth ored this Nation's most important laws  to address the critical problems of un employment and  joblessness
House,101,0.247,722,20,Mr. MADIGAN.,1989,yield time may consum gentleman california, I yield such time as  he may consume  to  the gentleman  from California, I yield such time as  he may consume  to  the gentleman  from California
,108,-0.4,219,2004-09-08,Mr. LARSON of Connecticut.,2004,passion dedic bring wonder world sport live room hour day seven day week,"for their passion and dedication to bringing  the wonderful world of sports  into  living  rooms 24 hours a day, seven days a week","for their passion and dedication to bringing  the wonderful world of sports  into  living  rooms 24 hours a day, seven days a week"
House,112,-0.40399999999999997,2,2011-01-18,Mr. BUTTERFIELD.,2011,know usual two side everi issu,And I know  there are usually two sides to every  issue,And I know  there are usually two sides to every  issue
House,97,-0.47200000000000003,760,19,Mr. VENTO.,1981,testimoni arm serv ice committe special panel de fens procur chair cbo said found unit cost growth billion de fens program includ fiscal budget submit last march," In testimony before the Armed Serv ices Committee's Special Panel on De fense Procurement, which I chair, the  CBO  said  they  found  a  unit  cost  growth of over $4.3 billion in 37 de fense programs that were included in  the 1982 fiscal budget submitted last  March"," In testimony before the Armed Serv ices Committee's Special Panel on De fense Procurement, which I chair, the  CBO  said  they  found  a  unit  cost  growth of over $4.3 billion in 37 de fense programs that were included in  the 1982 fiscal budget submitted last  March"
Senate,102,-0.35200000000000004,545,7,Mr. KERRY.,1991,distinguish senat kentucki withdrew amend ment,The distinguished Senator  from Kentucky withdrew his amend ment,The distinguished Senator  from Kentucky withdrew his amend ment
Senate,107,0.331,109,2002-07-17,Mr. BENNETT.,2002,favor,We are all in favor,We are all in favor
,94,-0.305,80,6,Mr. ZEFERETTI.,1975,howev voic last heard impact ing made feder plan,"However, now their voices are at  last being heard, and some impact is be ing made on Federal plans","However, now their voices are at  last being heard, and some impact is be ing made on Federal plans"
House,108,-0.37,96,2003-10-16,Mr. WU.,2003,administr architect polici must held respons,The administration architects for these policies must be held responsible,The administration architects for these policies must be held responsible
House,100,-0.17300000000000001,855,11,Mr. CARPER.,1988,not luxuri today light budget deficit,"We do not  have that luxury today, in light of our  budget deficits","We do not  have that luxury today, in light of our  budget deficits"
House,102,-0.345,706,13,Mr. HERTEL.,1991,afraid next elect afraid lose job," Why? Because they were afraid of the  next election, afraid of losing their job"," Why? Because they were afraid of the  next election, afraid of losing their job"
Senate,112,-0.17300000000000001,145,2012-09-20,Mr. CARPER.,2012,upon retir bob describ essenc leadership reiter faith delawar approach good govern hope place never becom like washington dc," Upon his retirement, Bob described  the essence of his leadership and reiterated his faith in Delaware’s approach  to good governance: ‘‘I hope this place  never becomes  like Washington D.C"," Upon his retirement, Bob described  the essence of his leadership and reiterated his faith in Delaware’s approach  to good governance: ‘‘I hope this place  never becomes  like Washington D.C"
House,114,0.348,45,2015-06-25,Mr. CALVERT.,2015,ask unanim consent member may legisl day revis extend remark includ extran materi consider hr,"Speaker, I ask  unanimous consent that all Members  may have 5 legislative days in which to  revise and extend their remarks and include extraneous material on consideration of the H.R","Speaker, I ask  unanimous consent that all Members  may have 5 legislative days in which to  revise and extend their remarks and include extraneous material on consideration of the H.R"
House,99,-0.37,600,1,Ms. MIKULSKI.,1986,christa mcauliff said touch futur everi day teacher touch live peopl rep resent futur student," Christa McAuliffe said she is in  touch with  the future every day because she is a teacher,  touching the lives of the very people who rep resent our future-our students"," Christa McAuliffe said she is in  touch with  the future every day because she is a teacher,  touching the lives of the very people who rep resent our future-our students"
Senate,104,0.5479999999999999,1538,3,Mr. KYL.,1995,soviet union doesnt even exist,And  the Soviet Union  doesn't even exist,And  the Soviet Union  doesn't even exist
Senate,100,-0.303,545,13,Mr. DASCHLE.,1987,disaster statist mind must consid trade legi lation, With these disasterous statistics in  mind we must consider this trade legis lation, With these disasterous statistics in  mind we must consider this trade legis lation
,96,0.34600000000000003,392,6,Mr. LEE.,1980,oma japan came late save job mani thousand worker cut japanes color tv import," The OMA with Japan, which came  too  late to save the .jobs of many thousands of  workers, did cut Japanese color TV imports"," The OMA with Japan, which came  too  late to save the .jobs of many thousands of  workers, did cut Japanese color TV imports"
Senate,96,-0.301,1158,2,Mr. MOYNIHAN.,1980,floyd abram attorney new york greatest experi reput matter,"Floyd Abrams, an attorney  of New York of the greatest experience  and reputation in these matters","Floyd Abrams, an attorney  of New York of the greatest experience  and reputation in these matters"
Senate,106,-0.303,118,1999-02-24,Mr. DASCHLE.,1999,presid propos billion personnel initi fy budget improv militari pay retir benefit,The President proposed a $23 billion personnel initiative in his FY2000 budget to improve the military’s pay and retirement benefits,The President proposed a $23 billion personnel initiative in his FY2000 budget to improve the military’s pay and retirement benefits
House,102,0.348,1143,7,Mr. LEWIS of California.,1991,speak er thank colleagu wash ington opportun partici pate discuss regard amer ican technolog,"Speak er, I thank my colleagues from Wash ington for this opportunity to partici pate in this discussion regarding Amer ican  technology","Speak er, I thank my colleagues from Wash ington for this opportunity to partici pate in this discussion regarding Amer ican  technology"
House,110,-0.652,24,2007-03-29,Mr. FILNER.,2007,thank gentleladi thank leadership ms," I thank the gentlelady,  and  I  thank  the  leadership of Ms"," I thank the gentlelady,  and  I  thank  the  leadership of Ms"
,106,0.154,255,1999-06-07,Mr. HOUGHTON.,1999,commerc depart data show us,Commerce Department data  show  that  in 1996 U.S,Commerce Department data  show  that  in 1996 U.S
Senate,109,-0.158,18,2005-04-04,Mr. BAYH.,2005,michael kill serv countri oper endur freedom, Michael was killed while serving his  country in Operation Enduring Freedom, Michael was killed while serving his  country in Operation Enduring Freedom
Senate,111,0.40299999999999997,72,2009-02-09,Mr. ISAKSON.,2009,bill amend employe retir incom secur act provid special report disclosur rule individu account plan purpos committe health educ labor pension,"A bill to amend the Employee Retirement Income Security Act of 1974 to provide special reporting and disclosure rules  for individual accounts plans and for other  purposes; to the Committee on Health, Education, Labor, and Pensions","A bill to amend the Employee Retirement Income Security Act of 1974 to provide special reporting and disclosure rules  for individual accounts plans and for other  purposes; to the Committee on Health, Education, Labor, and Pensions"
House,105,-0.569,199,1,Mr. OWENS.,1998,blake elementari school lakeland florida student struck head loos mortar fell doorway," At  Blake  Elementary  School  in  Lakeland,  Florida,  a  student  was  struck on the head when loose mortar  fell from over a doorway"," At  Blake  Elementary  School  in  Lakeland,  Florida,  a  student  was  struck on the head when loose mortar  fell from over a doorway"
House,97,-0.027999999999999997,513,8,Mr. BARNARD.,1981,washington took person interest establish coinag system interven senat bill provid pic ture current presid coin,"Washington  took a personal  interest in the establishment of this  coinage system, and intervened when  the Senate bill provided for the pic ture of the current President on the  coins","Washington  took a personal  interest in the establishment of this  coinage system, and intervened when  the Senate bill provided for the pic ture of the current President on the  coins"
Senate,106,-0.45,113,1999-03-24,Mrs. BOXER.,1999,need set asid fund surplu get us year come medicar let look reform program,"We need to set aside funds from the surplus to get us  through  these years  coming  for Medicare; also,  let’s  look at the reforms of the program","We need to set aside funds from the surplus to get us  through  these years  coming  for Medicare; also,  let’s  look at the reforms of the program"
,109,-0.302,76,2006-06-26,Mr. MORAN of Virginia.,2006,serv remind bond human anim vital one capabl bring joy heal peopl age,It also serves as a reminder  that the bond between humans and animals is  a vital one and is capable of bringing joy and  healing to people of all ages,It also serves as a reminder  that the bond between humans and animals is  a vital one and is capable of bringing joy and  healing to people of all ages
Senate,114,-0.36200000000000004,52,2015-01-21,Mr. DURBIN.,2015,dont use american steel dont keep oil america build pipelineno,"Don’t use American  steel, don’t keep the oil in America,  but build this pipeline—No","Don’t use American  steel, don’t keep the oil in America,  but build this pipeline—No"
,106,0.247,165,1999-03-18,Mrs. WILSON.,1999,know," ‘‘You  know, Mrs"," ‘‘You  know, Mrs"
House,96,0.215,570,22,Mr. GRAMM.,1979,would glad yield gentleman texa, I would be glad  t.o yield to the gentleman from Texas, I would be glad  t.o yield to the gentleman from Texas
Senate,111,-0.3,67,2010-03-18,Mr. CASEY.,2010,meant abl reduc rate uninsur children percent,It has meant that we have been  able to reduce our rate of uninsured  children down to 5 percent,It has meant that we have been  able to reduce our rate of uninsured  children down to 5 percent
,96,-0.172,199,11,Mr. SKELTON.,1980,point anoth tornado rav age sedalia mo may death occur effect warn system,"It should also be  pointed out that another tornado rav aged Sedalia, Mo., on May 4, 1977, and  again no deaths occurred because of  an effective warning system","It should also be  pointed out that another tornado rav aged Sedalia, Mo., on May 4, 1977, and  again no deaths occurred because of  an effective warning system"
,106,0.56,12,1999-11-11,Mrs. MYRICK.,1999,drake congress,Drake in Congress,Drake in Congress
,107,0.7390000000000001,117,2001-03-06,Mr. CRANE.,2001,even legisl propos cannot improv upon,"Even so, there is no legislation or proposal that cannot be improved upon","Even so, there is no legislation or proposal that cannot be improved upon"
,95,-0.265,496,3,Mr. MURTHA.,1978,intelllg agen cie made sever attempt call atten tion soviet civil defens program major effort continu could," intelllgence agen cies had made several attempts to call atten tion to the Soviet civil-defense programs as  a major effort which,  if continued, could  "," intelllgence agen cies had made several attempts to call atten tion to the Soviet civil-defense programs as  a major effort which,  if continued, could  "
House,96,-0.313,140,19,Mr. SMITH of Iowa.,1980,avoid duplic unnec essari analys agenc may analys part proceed b regulatori flexibillti analysi not quir head agenc certifi rule,"Avoidance of duplication or unnec essary analyses( a) Agency may do analyses as part of  other proceedings,  (b) Regulatory fl.exibillty analysis not re quired if head of agency certifies that rule  ","Avoidance of duplication or unnec essary analyses( a) Agency may do analyses as part of  other proceedings,  (b) Regulatory fl.exibillty analysis not re quired if head of agency certifies that rule  "
,102,-0.172,30,6,Mr. SKELTON.,1992,two definit combin inspir composit understand chal leng relat america today," These two definitions combine to inspire a  composite understanding of what a Chal lenge  is,  and how  it  relates  to America  today"," These two definitions combine to inspire a  composite understanding of what a Chal lenge  is,  and how  it  relates  to America  today"
,105,0.254,223,13,Mr. GILLMOR.,1997,militari honor clude vietnam servic medal three bronz star vietnam campaign medal viet names cross gallantri vietnam civil ac tion campaign medal combat action ribbon nation defens servic medal,"His military honors in clude  the Vietnam Service Medal with  three  bronze stars, Vietnam Campaign Medal, Viet namese Cross of Gallantry, Vietnam Civil Ac tion Campaign Medal, Combat Action Ribbon,  and the National Defense Service Medal","His military honors in clude  the Vietnam Service Medal with  three  bronze stars, Vietnam Campaign Medal, Viet namese Cross of Gallantry, Vietnam Civil Ac tion Campaign Medal, Combat Action Ribbon,  and the National Defense Service Medal"
,115,0.593,83,2018-03-20,Mr. POE of Texas.,2018,keep golf shaun, Keep golfing Shaun, Keep golfing Shaun
House,111,0.513,3,2010-05-26,Mr. SULLIVAN.,2010,citizen legal resid, citizens and legal residents, citizens and legal residents
,94,-0.44299999999999995,246,20,Mr. KENNEDY.,1976,wain wright co,Wain wright & Co,Wain wright & Co
,114,-0.256,54,2016-02-12,Ms. KUSTER.,2016,dedic servic social justic activist advoc made famili state nation proud," Through her dedicated service as a social  justice activist and advocate, she made her  family, her state, and her nation proud"," Through her dedicated service as a social  justice activist and advocate, she made her  family, her state, and her nation proud"
Senate,103,-0.33399999999999996,885,13,Mr. WOFFORD.,1994,moor safe corrid program pro tect children way school,"Moore-in  the safe corriders program, which pro tects children on their way to and from  school","Moore-in  the safe corriders program, which pro tects children on their way to and from  school"
